Time_s,Raw_Theta_deg
7.516215716772209987e+01,4.117806899519911923e+01
7.517049000111099133e+01,4.117806899519911923e+01
7.517882283449986858e+01,4.117806899519911923e+01
7.518715566788874582e+01,4.117806899519911923e+01
7.519548850127763728e+01,3.860559770450398531e+01
7.520382133466651453e+01,3.860559770450398531e+01
7.521215416805540599e+01,3.860559770450398531e+01
7.522048700144428324e+01,3.860559770450398531e+01
7.522881983483316048e+01,3.459786987726101870e+01
7.523715266822205194e+01,3.459786987726101870e+01
7.524548550161092919e+01,3.459786987726101870e+01
7.525381833499980644e+01,3.459786987726101870e+01
7.526215116838869790e+01,3.050253230398682547e+01
7.527048400177757514e+01,3.050253230398682547e+01
7.527881683516646660e+01,3.050253230398682547e+01
7.528714966855534385e+01,3.050253230398682547e+01
7.529548250194422110e+01,2.584460922253449411e+01
7.530381533533311256e+01,2.584460922253449411e+01
7.531214816872198980e+01,2.584460922253449411e+01
7.532048100211088126e+01,2.584460922253449411e+01
7.532881383549975851e+01,2.044342455785228907e+01
7.533714666888863576e+01,2.044342455785228907e+01
7.534547950227752722e+01,2.044342455785228907e+01
7.535381233566640446e+01,2.044342455785228907e+01
7.536214516905528171e+01,1.667456875250823956e+01
7.537047800244417317e+01,1.667456875250823956e+01
7.537881083583305042e+01,1.667456875250823956e+01
7.538714366922194188e+01,1.667456875250823956e+01
7.539547650261081913e+01,1.330945378195731621e+01
7.540380933599969637e+01,1.330945378195731621e+01
7.541214216938858783e+01,1.330945378195731621e+01
7.542047500277746508e+01,1.330945378195731621e+01
7.542880783616635654e+01,1.028327596837361924e+01
7.543714066955523379e+01,1.028327596837361924e+01
7.544547350294411103e+01,1.028327596837361924e+01
7.545380633633300249e+01,1.028327596837361924e+01
7.546213916972187974e+01,8.735237991671031210e+00
7.547047200311075699e+01,8.735237991671031210e+00
7.547880483649964845e+01,8.735237991671031210e+00
7.548713766988852569e+01,8.735237991671031210e+00
7.549547050327741715e+01,8.516532181425032988e+00
7.550380333666629440e+01,8.516532181425032988e+00
7.551213617005517165e+01,8.516532181425032988e+00
7.552046900344406311e+01,8.516532181425032988e+00
7.552880183683294035e+01,9.302481691283315257e+00
7.553713467022183181e+01,9.302481691283315257e+00
7.554546750361070906e+01,9.302481691283315257e+00
7.555380033699958631e+01,9.302481691283315257e+00
7.556213317038847777e+01,1.163022658952830568e+01
7.557046600377735501e+01,1.163022658952830568e+01
7.557879883716623226e+01,1.163022658952830568e+01
7.558713167055512372e+01,1.163022658952830568e+01
7.559546450394400097e+01,1.517226552450934562e+01
7.560379733733289243e+01,1.517226552450934562e+01
7.561213017072176967e+01,1.517226552450934562e+01
7.562046300411064692e+01,1.517226552450934562e+01
7.562879583749953838e+01,1.898495888124556430e+01
7.563712867088841563e+01,1.898495888124556430e+01
7.564546150427730709e+01,1.898495888124556430e+01
7.565379433766618433e+01,1.898495888124556430e+01
7.566212717105506158e+01,2.434473794833219173e+01
7.567046000444395304e+01,2.434473794833219173e+01
7.567879283783283029e+01,2.434473794833219173e+01
7.568712567122170753e+01,2.434473794833219173e+01
7.569545850461059899e+01,3.062988545983958844e+01
7.570379133799947624e+01,3.062988545983958844e+01
7.571212417138836770e+01,3.062988545983958844e+01
7.572045700477724495e+01,3.062988545983958844e+01
7.572878983816612219e+01,3.568751532965213613e+01
7.573712267155501365e+01,3.568751532965213613e+01
7.574545550494389090e+01,3.568751532965213613e+01
7.575378833833278236e+01,3.568751532965213613e+01
